description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                The devastating horror of a nuclear apocalypse is now reality and nine desperate strangers find themselves clinging to life in a farmhouse cellar, while radioactive fallout descends on the darkened world above. These would-be survivors face the nightmare of dwindling supplies, poisonous air and the greatest threat of all - the hordes of zombie-like refugees who want in. With each dying day, their choice becomes clearer - stay and let the makeshift shelter become their tomb or face the unknown terrors of the world outside. Starring Edward Furlong, Monica Keena, Andre Royo and C.J. Thomason, AFTERMATH takes a hard look at how far humans will go to survive. And it isn't pretty. (C) Image
            ","NR
                    ",Peter Engert,NA,NA,Christian McDonald,NA,NA,NA,"Jul 18, 2014
                        ","Aug 26, 2014
                        ","
                            92 minutes
                        ","
                        Image Entertainment
                    ","
                Edward Furlong
            ","
                Monica Keena
            ","
                Andre Royo
            ","
                Jessie Rusu
            ","
                C.J. Thomason
            ","
                Christine Kelly
            ","
                                Aftermath
                            ",2014,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Horror, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",47,17,17,360,138331,5.2,5,8,2.33,18,89,169,https://www.rottentomatoes.com/m/aftermath_2014
"
                Set in the strange and oppressive emotional landscape of the year 1983, Beyond the Black Rainbow is a Reagan-era fever dream inspired by hazy childhood memories of midnight movies and Saturday morning cartoons. From the producer of ""Machotaildrop,"" Rainbow is the outlandish feature film debut of writer and director Panos Cosmatos. Featuring a hypnotic analog synthesizer score by Jeremy Schmidt of ""Sinoia Caves"" and ""Black Mountain,"" Rainbow is a film experience for the senses. -- (C) Magnet
            ","R (for some bloody violence, disturbing images, a graphic sexual illustration, language and drug content)
                    ",Panos Cosmatos,NA,NA,Panos Cosmatos,NA,NA,NA,"May 18, 2012
                        ","Sep 11, 2012
                        ","
                            110 minutes
                        ","
                        Magnolia Pictures
                    ","
                Michael Rogers
            ","
                Eva Allan
            ","
                Scott Hylands
            ","
                Marilyn Norry
            ","
                Rondel Reynoldson
            ","
                Geoffrey Condor
            ","
                                Beyond The Black Rainbow
                            ",2012,No consensus yet.,"
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",58,33,52,3,141710,5.87,4.12,9,3.26,547,495,1457,https://www.rottentomatoes.com/m/beyond_the_black_rainbow_2012
"
                Apart from early appearances by Jason Alexander and Holly Hunter, an interesting score by Rick Wakeman, and some typically effective work by effects icon Tom Savini, this slasher film is also among the more frightening of its kind. The plot concerns a summer-camp caretaker named Cropsy (Lou David) who is horribly burned by mischievous teen campers during a botched practical joke. Years later, he leaves the hospital as a disfigured gloppy mess with an axe (actually, hedgeclippers) to grind. After dispatching a local prostitute, Cropsy heads out to the wilderness to terrorize a group of campers. They're the usual bunch of horny, obnoxious teenagers, but there are some interesting performances by Larry Joshua as a mean-spirited bully and Brian Backer (of Fast Times at Ridgemont High) as a put-upon nerd. The campers visit an island and, in a scene heavily cut by the ratings board prior to release, several of them die in a horrifying mass slaughter aboard a boat. The remaining teens are brutally picked off one by one until Cropsy is finally defeated.
            ","R
                    ",Tony Maylam,NA,NA,Peter Lee Lawrence,Bob Weinstein,David Rabe,NA,"Jan 1, 1981
                        ","Sep 11, 2007
                        ","
                            90 minutes
                        ","
                        Miramax Films
                    ","
                Lou David
            ","
                Shelley Bruce
            ","
                Brian Matthews
            ","
                Leah Ayres
            ","
                Leah Ayers
            ","
                Brian Backer
            ","
                                The Burning
                            ",1981,No consensus yet.,"
                        
                        Horror
                        
                    ",88,8,61,6,133395,7,0,0,3.45,751,480,859,https://www.rottentomatoes.com/m/1184756-burning
"
                The recently dead return to life in They Came Back, but they are surprisingly uninterested in feasting on the living. Many of them are, naturally enough, elderly, and they seem content merely to go back to their former lives, but their return causes a myriad of complications. Robin Campillo, making his feature directorial debut, co-wrote the script to Laurent Cantet's Time Out, and his ""zombie"" movie quietly examines the individual and societal impact the dead have on the small French city -- just one of many similarly afflicted throughout the world -- to which they return. Isham (Djemel Barek) and Vronique (Marie Matheron) have their trepidations, but they're generally happy, at first, to see their little boy Sylvain (Saady Delas), and the town's elderly mayor (Victor Garrivier) welcomes home his wife, Martha (Catherine Samie). But Rachel (Graldine Pailhas of 5x2), a government health official, cannot bring herself to visit her newly returned husband, Mathieu (Jonathan Zacca of Seaside), at the ad-hoc shelter where the government houses the ""zombies"" like refugees. Eventually, she relents, and Mathieu returns home, but the living find that their loved ones are not exactly as they remember them. Studies soon reveal that the dead suffer from a form of aphasia. They cannot create new memories, and they cannot be trusted to perform any but the most menial tasks. Perhaps sensing the discomfort they cause the living, the dead gather together at night, and seem to be formulating some kind of secret plan. They Came Back was selected by the Museum of Modern Art and the Film Society of Lincoln Center for inclusion in the 2005 edition of New Directors/New Films.
            ","NR
                    ",Robin Campillo,NA,NA,Robin Campillo,Brigitte Tijou,NA,NA,"May 14, 2004
                        ","Jun 21, 2005
                        ","
                            102 minutes
                        ","
                        Haut et Court
                    ","
                Geraldine Pailhas
            ","
                Jonathan Zacca
            ","
                Victor Garrivier
            ","
                Catherine Samie
            ","
                Djemel Barek
            ","
                Marie Matheron
            ","
                                They Came Back
                            ",2004,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",78,9,42,2,132609,6.24,0,0,2.96,134,184,400,https://www.rottentomatoes.com/m/revenants
"
                When a single mother and her two young children are tormented by an increasingly strange and intense presence in their quiet suburban home, she turns to her scientist boyfriend to take on the violent forces that paranormal experts are too frightened to face.
            ","NR
                    ",Alistair Legrand,NA,NA,Alistair Legrand,Luke Harvis,NA,NA,"Oct 16, 2015
                        ","Nov 3, 2015
                        ","
                            86 minutes
                        ","

                            86 minutes
                        
","
                Ali Larter
            ","
                Max Rose
            ","
                Chloe Perrin
            ","
                Arjun Gupta
            ","
                Merrin Dungey
            ","
                Joe Egender
            ",The Diabolical,NA,No consensus yet.,"
                        
                        Horror, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",40,10,19,439,134017,4.42,5.5,4,2.38,44,188,140,https://www.rottentomatoes.com/m/the_diabolical_2015
"
                A loser finds out the hard way there are worse things than spending another night at home in this horror comedy from first-time director Jeremy Saulnier. Christopher (Chris Sharp) is a nebbish who can't get any respect at work, couldn't get a date if his life depended on it, and has practically no social life. Christopher figures he's going to be stuck at home on Halloween until he finds an invitation for a ""murder party"" on the sidewalk; expecting a costume party with fun and games, he slaps together a cardboard ""suit of armor"" and shows up for the festivities. The bash is being thrown by a group of bohemian artists who are rather surprised Christopher has shown up -- he's the only stranger to take the bait and arrive for their party, in which their guest-of-honor is actually going to be killed in the name of creativity (and impressing a jaded patron who finances their projects). Before long, Christopher begins to realize what's going on, and struggles to find a way out of the warehouse where the party is being held, while the artists begin to turn on one another and the blood starts to flow. Murder Party won the Audience Award for Best Narrative Feature at the 2007 Slamdance Film Festival.
            ","NR
                    ",Jeremy Saulnier,NA,NA,Jeremy Saulnier,NA,NA,NA,"Oct 16, 2007
                        ","
                            79 minutes
                        ",NA,"
                        Lab of Madness
                    ","
                Chris Sharp
            ","
                Alex Barnett
            ","
                Sandy Barnett
            ","
                Malin Bergman
            ","
                Macon Blair
            ","
                Paul Goldblatt
            ","
                                Murder Party
                            ",2007,No consensus yet.,"
                        
                        Comedy, 
                        
                        Horror
                        
                    ",100,5,57,3,135413,7.62,7.5,1,3.34,487,363,460,https://www.rottentomatoes.com/m/murder_party
"
                Marty is the ideal fifth grader. He gets good grades, listens to his teachers, and doesn't start trouble in class. But a darkness is beginning to fall over Marty's life. The kids at school won't stop picking on him, his parents just don't seem to understand him, and now Marty must grapple with a terrible secret that threatens to destroy life as he knows it -- his big brother is a serial killer! Brotherly love is put to the ultimate test in this emotional coming-of-age story that descends into unspeakable horror. (c) XLRator
            ","NR
                    ",Scott Schirmer,NA,NA,Scott Schirmer,Todd Rigney,NA,NA,"Aug 15, 2014
                        ","Sep 23, 2014
                        ","
                            103 minutes
                        ","
                        Xlrator Media
                    ","
                David Gavin Brown
            ","
                Ethan Philbeck
            ","
                Phyllis Munro
            ","
                Louie Lawless
            ","
                Alex Kogin
            ","
                Andy Alphonse
            ","
                                Found
                            ",2014,No consensus yet.,"
                        
                        Horror
                        
                    ",60,5,48,352,141515,6,0,2,3.11,74,80,150,https://www.rottentomatoes.com/m/found_2014
"
                Gabriel is the leader of an evil angel group that seeks to destroy humanity because God favors mortals. After returning from hell, Gabriel goes to the L.A. streets, where he intends to finish his bloody war by murdering nurse Jennifer, who is pregnant with the second incarnation of Christ.
            ","R (for strong violence and gore, and a strong sex scene)
                    ",Greg Spence,NA,NA,Greg Spence,Matt Greenberg,NA,NA,"Jan 20, 1998
                        ","Sep 7, 1999
                        ","
                            83 minutes
                        ","
                        Miramax
                    ","
                Christopher Walken
            ","
                Jennifer Beals
            ","
                Russell Wong
            ","
                Eric Roberts
            ","
                Brittany Murphy
            ","
                Glenn Danzig
            ","
                                The Prophecy II
                            ",1998,No consensus yet.,"
                        
                        Horror
                        
                    ",33,6,44,8,132951,4.67,0,0,3.23,284,357,921,https://www.rottentomatoes.com/m/the_prophecy_ii
"
                Death once again shows he's determined to get what he wants in this teen-centric thriller. Wendy (Mary Elizabeth Winstead) is a high school student hanging out with her friends at an amusement park one night when they decide to ride on the roller coaster. Wendy, however, has a premonition that something horrible will happen, and finds a way to save herself shortly before the ride goes off the rails, killing most of its passengers, including her boyfriend, Jason (Jesse Moss), and best friend, Carrie (Gina Holden). However, while Wendy may have survived the night at the park, she soon discovers that a malevolent spirit is following her and her classmates as they begin dying in strange and horrible ways. Wendy learns that a series of snapshots taken that evening give clues to the mayhem that followed her pals, and she teams up with Kevin (Ryan Merriman), Carrie's sweetheart, to try to warn the potential victims about the fates soon to befall them. Final Destination 3 was directed and co-scripted by James Wong, who also helmed the first two films in the franchise.
            ","R (for strong horror violence/gore, language and some nudity.)
                    ",James Wong,NA,NA,James Wong,Glen Morgan,NA,NA,"Feb 10, 2006
                        ","Jul 25, 2006
                        ","
                            93 minutes
                        ","
                        New Line Cinema
                    ","
                Mary Elizabeth Winstead
            ","
                Ryan Merriman
            ","
                Kris Lemche
            ","
                Alexz Johnson
            ","
                Sam Easton
            ","
                Gina Holden
            ","
                                Final Destination 3
                            ",2006,"Final Destination 3 is more of the same: gory and pointless, with nowhere new to go.","
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",43,116,57,538,141182,5.01,4.67,29,3.42,14267,10827,91273,https://www.rottentomatoes.com/m/final_destination_3
"
                This supernatural horror film from Kim Jee-woon is inspired by the ancient Korean folktale ""Jangha and Hongryun."" Set in an isolated lakeside house, it begins with two young girls, Su-mi (Im Su-jung) and Su-yeon (Mun Geun-yeong), returning home after a period of hospitalization following the death of their mother. In the meantime, their father Mu-Hyun (Kim Gab-su) has married Eun-joo (Yeom Jeong-ah), whom the girls obviously despise. Strange, violent visions begin to disturb Su-mi and she becomes convinced that Eun-joo is keeping a dark secret from the family. The American remake rights to A Tale of Two Sisters were sold to Dreamworks SKG in 2003.
            ","R (for some violence and disturbing images)
                    ",Kim Jee-woon,NA,NA,Kim Jee-woon,NA,NA,NA,"Jun 13, 2003
                        ","Mar 29, 2005
                        ","
                            114 minutes
                        ","
                        Tartan Films
                    ","
                Su-jeong Lim
            ","
                Kab-su Kim
            ","
                Lim Su-jung
            ","
                Jeong-Ah Yeom
            ","
                Jeong-a Yeom
            ","
                Kim Gab-su
            ","
                                A Tale of Two Sisters
                            ",2003,"Restrained but disturbing, A Tale of Two Sisters is a creepily effective, if at times confusing, horror movie.","
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",85,60,83,33,137380,7.1,6.86,21,3.99,4977,1034,5141,https://www.rottentomatoes.com/m/a_tale_of_two_sisters
